,act,lab,cap,ptx,hhd,gov,inv,tot
act,,,,,57193.44,17362.54,43352.14,117908.12
lab,69222.47,,,,,,,69222.47
cap,39727.62,,,,,,,39727.62
ptx,8958.02,,,,,,,8958.02
hhd,,69222.47,39727.62,,,,,108950.09
gov,,,,8958.02,8404.52,,,17362.54
inv,,,,,43352.14,,,43352.14
tot,117908.11,69222.47,39727.62,8958.02,108950.1,17362.54,43352.14,
